album,artist,release_date,popularity,danceability,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,Country
Evil Genius,Gucci Mane,2018-12-07,80,0.8,0.8,0.578,0.0,0.367,-5.144,0.0485,143.01,MX
Ya No Tiene Novio,Sebastian Yatra,2018-08-10,87,0.632,0.632,0.832,0.0,0.0705,-1.948,0.154,182.184,MX
Dile la Verdad,Jowell & Randy,2019-01-11,85,0.886,0.886,0.701,1.16e-05,0.0574,-3.504,0.141,103.002,MX
"thank u, next",Ariana Grande,2019-02-08,95,0.778,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,CA
Wow.,Post Malone,2018-12-24,99,0.833,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,CA
Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,98,0.76,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,CA
Sucker,Jonas Brothers,2019-03-01,98,0.842,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,CA
MIDDLE CHILD,J. Cole,2019-01-23,97,0.837,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,CA
Bad Habits,NAV,2019-03-22,71,0.773,0.773,0.579,4.22e-06,0.31,-6.128,0.129,75.014,CA
"thank u, next",Ariana Grande,2019-02-08,100,0.726,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,CA
Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,93,0.581,0.581,0.662,0.0,0.111,-5.239,0.303,93.023,CA
Championships,Meek Mill,2018-11-30,95,0.889,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,CA
I AM YOU,YNW Melly,2018-08-03,94,0.759,0.759,0.73,3.06e-06,0.11,-7.985,0.0516,115.007,CA
A Star Is Born Soundtrack,Lady Gaga,2018-10-05,97,0.572,0.572,0.385,0.0,0.231,-6.362,0.0308,95.799,CA
Here With Me,Marshmello,2019-03-08,90,0.791,0.791,0.565,0.0,0.156,-3.933,0.0439,99.961,CA
Old Town Road,Lil Nas X,2019-03-14,77,0.908,0.908,0.517,1.73e-06,0.0949,-6.063,0.129,136.019,CA
Pure Water (with Migos),Mustard,2019-01-16,92,0.68,0.68,0.559,0.0,0.318,-5.545,0.129,202.006,CA
Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,97,0.741,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,CA
